PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-5172	chr5	142764522	142764778	+	.	NA	promoter-TSS (NM_001018076)	NA	-410	NM_001018076	2908		NM_000176	ENSG00000113580	NR3C1	GCCR|GCR|GCRST|GR|GRL	nuclear receptor subfamily 3 group C member 1	protein-coding
BCOR_KDM2B_common_region-3735	chr2	182465099	182465436	+	.	NA	intron (NR_109843, intron 1 of 17)	NA	565	NM_006751	6744		NM_006751	ENSG00000138434	ITPRID2	CS-1|CS1|KRAP|SPAG13|SSFA2	ITPR interacting domain containing 2	protein-coding
BCOR_KDM2B_common_region-100	chr1	16698131	16698382	+	.	NA	Intergenic	NA	-6473	NR_023386	114819		NR_023386	ENSG00000290842	CROCCP3	CROCCL2|dJ798A10.2	CROCC pseudogene 3	pseudo
BCOR_KDM2B_common_region-1892	chr14	60289934	60290212	+	.	NA	intron (NM_002431, intron 1 of 7)	NA	18841	NM_001177963	4331		NM_002431	ENSG00000020426	MNAT1	CAP35|MAT1|RNF66|TFB3	MNAT1 component of CDK activating kinase	protein-coding
BCOR_KDM2B_common_region-1009	chr11	6590002	6590353	+	.	NA	promoter-TSS (NM_006284)	NA	-154	NM_006284	6881		NM_006284	ENSG00000166337	TAF10	TAF2A|TAF2H|TAFII30	TATA-box binding protein associated factor 10	protein-coding
BCOR_KDM2B_common_region-3008	chr18	28604739	28605673	+	.	NA	intron (NM_020805, intron 1 of 8)	NA	1778	NM_020805	57565		NM_020805	ENSG00000197705	KLHL14	-	kelch like family member 14	protein-coding
BCOR_KDM2B_common_region-290	chr1	54183675	54183838	+	.	NA	promoter-TSS (NM_052940)	NA	204	NM_001382254	51668		NM_016126	ENSG00000081870	IFT25	C1orf41|CFAP232|FAP232|HSPB11|HSPCO34|PP25	intraflagellar transport 25	protein-coding
BCOR_KDM2B_common_region-2683	chr17	7532343	7532516	+	.	NA	promoter-TSS (NM_001126118)	NA	37	NM_018081	55135		NM_018081	ENSG00000141499	WRAP53	DKCB3|TCAB1|WDR79	WD repeat containing antisense to TP53	protein-coding
BCOR_KDM2B_common_region-5898	chr7	98810750	98810888	+	.	NA	intron (NM_005720, intron 1 of 9)	NA	530	NM_005720	10095		NM_005720	ENSG00000130429	ARPC1B	ARC41|IMD71|PLTEID|p40-ARC|p41-ARC	actin related protein 2/3 complex subunit 1B	protein-coding
BCOR_KDM2B_common_region-654	chr1	243929060	243929102	+	.	NA	intron (NM_018012, intron 14 of 14)	NA	289395	NM_001375966	64754		NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
BCOR_KDM2B_common_region-26	chr1	3763729	3763773	+	.	NA	promoter-TSS (NM_014704)	NA	60	NM_001282669	1677		NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding
BCOR_KDM2B_common_region-2410	chr16	25025794	25026170	+	.	NA	intron (NR_120306, intron 1 of 2)	NA	4395	NR_120306	102723510		NR_120306		LCMT1-AS1	-	LCMT1 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-2862	chr17	59576690	59576859	+	.	NA	promoter-TSS (NR_004380)	NA	-288	NR_132278	105376843		NR_132278	ENSG00000266402	SNHG25	-	small nucleolar RNA host gene 25	ncRNA
BCOR_KDM2B_common_region-3621	chr2	101236081	101236328	+	.	NA	exon (NM_017546, exon 1 of 7)	NA	424	NM_017546	55571		NM_017546	ENSG00000158435	CNOT11	C2orf29|C40	CCR4-NOT transcription complex subunit 11	protein-coding
BCOR_KDM2B_common_region-2438	chr16	31098928	31099184	+	.	NA	promoter-TSS (NM_004960)	NA	95	NM_004960	2521		NM_004960	ENSG00000089280	FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS|altFUS	FUS RNA binding protein	protein-coding
BCOR_KDM2B_common_region-812	chr10	75215301	75215512	+	.	NA	promoter-TSS (NR_160292)	NA	18	NM_015037	23053		NM_015037	ENSG00000214655	ZSWIM8	KIAA0913	zinc finger SWIM-type containing 8	protein-coding
BCOR_KDM2B_common_region-4151	chr22	19433146	19433294	+	.	NA	intron (NM_001362862, intron 28 of 53)	NA	-25181	NM_000185	3053		NM_000185	ENSG00000099937	SERPIND1	D22S673|HC2|HCF2|HCII|HLS2|LS2|THPH10	serpin family D member 1	protein-coding
BCOR_KDM2B_common_region-711	chr10	13429000	13429461	+	.	NA	intron (NR_164738, intron 1 of 9)	NA	1069	NR_164738	22929		NM_012247	ENSG00000086475	SEPHS1	SELD|SPS|SPS1	selenophosphate synthetase 1	protein-coding
BCOR_KDM2B_common_region-3325	chr2	667238	667370	+	.	NA	promoter-TSS (NM_001352681)	NA	102	NM_152834	129787		NM_152834	ENSG00000151353	TMEM18	lncND	transmembrane protein 18	protein-coding
BCOR_KDM2B_common_region-3700	chr2	156965017	156965222	+	.	NA	Intergenic	NA	-35191	NM_001083112	2820		NM_000408	ENSG00000115159	GPD2	GDH2|GPDM|mGDH|mGPDH	glycerol-3-phosphate dehydrogenase 2	protein-coding
BCOR_KDM2B_common_region-6570	chr9	139633670	139634163	+	.	NA	promoter-TSS (NR_122035)	NA	638	NM_001354612	79813		NM_024757	ENSG00000181090	EHMT1	EHMT1-IT1|EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KLEFS1|KMT1D	euchromatic histone lysine methyltransferase 1	protein-coding
BCOR_KDM2B_common_region-251	chr1	45051993	45052266	+	.	NA	3' UTR (NM_001136537, exon 8 of 8)	NA	5388	NM_001136537	149478		NM_001136537	ENSG00000222009	BTBD19	-	BTB domain containing 19	protein-coding
BCOR_KDM2B_common_region-4677	chr4	2440208	2440360	+	.	NA	promoter-TSS (NM_001185010)	NA	-347	NM_001185010	6047		NM_002938	ENSG00000063978	RNF4	RES4-26|SLX5|SNURF	ring finger protein 4	protein-coding
BCOR_KDM2B_common_region-5789	chr7	28186546	28186776	+	.	NA	promoter-TSS (NR_034097)	NA	60	NR_034097	100128081		NR_034097		JAZF1-AS1	-	JAZF1 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-5580	chr6	111301968	111302344	+	.	NA	promoter-TSS (NM_001287216)	NA	-524	NM_001287216	262		NM_001634	ENSG00000123505	AMD1	ADOMETDC|AMD|SAMDC	adenosylmethionine decarboxylase 1	protein-coding
BCOR_KDM2B_common_region-1799	chr13	114064181	114064404	+	.	NA	promoter-TSS (NM_080687)	NA	-886	NM_080687	65110		NM_023011	ENSG00000169062	UPF3A	HUPF3A|RENT3A|UPF3	UPF3A regulator of nonsense mediated mRNA decay	protein-coding
BCOR_KDM2B_common_region-4943	chr4	186630378	186630507	+	.	NA	promoter-TSS (NM_001145411)	NA	-561	NM_001145411	256309		NM_152775	ENSG00000168491	CCDC110	CT52|KM-HN-1|KMHN1	coiled-coil domain containing 110	protein-coding
BCOR_KDM2B_common_region-3618	chr2	100218064	100218376	+	.	NA	intron (NR_103730, intron 1 of 2)	NA	27072	NR_103730	150577		NM_001102655	ENSG00000232084	LINC01104	-	long intergenic non-protein coding RNA 1104	ncRNA
BCOR_KDM2B_common_region-5947	chr7	120822884	120823937	+	.	NA	intron (NM_001040020, intron 1 of 9)	NA	188	NM_014888	10447		NM_014888	ENSG00000196937	FAM3C	GS3786|ILEI	FAM3 metabolism regulating signaling molecule C	protein-coding
BCOR_KDM2B_common_region-4990	chr5	39109939	39111100	+	.	NA	promoter-TSS (NM_152756)	NA	-261	NM_152756	253260		NM_152756	ENSG00000164327	RICTOR	AVO3|PIA|hAVO3	RPTOR independent companion of MTOR complex 2	protein-coding
BCOR_KDM2B_common_region-2332	chr16	2901889	2902118	+	.	NA	promoter-TSS (NM_032296)	NA	22	NM_020912	84256		NM_020912	ENSG00000059122	FLYWCH1	-	FLYWCH-type zinc finger 1	protein-coding
BCOR_KDM2B_common_region-3383	chr2	24199801	24200058	+	.	NA	promoter-TSS (NM_199346)	NA	86	NM_001145710	375190		NM_198553	ENSG00000219626	FAM228B	-	family with sequence similarity 228 member B	protein-coding
BCOR_KDM2B_common_region-4465	chr3	106568194	106568533	+	.	NA	promoter-TSS (NM_001627)	NA	-80	NM_001627	214		NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
BCOR_KDM2B_common_region-6618	chrX	46503623	46503877	+	.	NA	promoter-TSS (NM_032591)	NA	-253	NM_001257291	84679		NM_032591	ENSG00000065923	SLC9A7	MRX108|NHE-7|NHE7|SLC9A6	solute carrier family 9 member A7	protein-coding
BCOR_KDM2B_common_region-1967	chr14	88952468	88952960	+	.	NA	promoter-TSS (NR_036500)	NA	616	NM_005197	1112		NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
BCOR_KDM2B_common_region-3883	chr2	242096939	242097036	+	.	NA	promoter-TSS (NM_001271978)	NA	-204	NM_001282307	10494		NM_006374	ENSG00000115694	STK25	SOK1|YSK1	serine/threonine kinase 25	protein-coding
BCOR_KDM2B_common_region-2339	chr16	3096436	3096586	+	.	NA	Intergenic	NA	-6070	NM_001278158	7755		NM_003456	ENSG00000122386	ZNF205	RhitH|ZNF210|Zfp13	zinc finger protein 205	protein-coding
BCOR_KDM2B_common_region-597	chr1	224917104	224917397	+	.	NA	intron (NR_103784, intron 1 of 1)	NA	12142	NR_103784	100506443		NR_103784	ENSG00000228382	ITPKB-IT1	-	ITPKB intronic transcript 1	ncRNA
BCOR_KDM2B_common_region-4862	chr4	140593799	140594441	+	.	NA	promoter-TSS (NM_031296)	NA	525	NR_159963	107984036		NR_159963		RAB33B-AS1	-	RAB33B antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-3044	chr18	53404669	53404932	+	.	NA	exon (NM_001012515, exon 1 of 11)	NA	132	NM_001374778	2235		NM_000140	ENSG00000066926	FECH	EPP|EPP1|FCE	ferrochelatase	protein-coding
BCOR_KDM2B_common_region-2095	chr15	50051190	50051446	+	.	NA	promoter-TSS (NM_001323904)	NA	-28	NM_001323903	123169		NM_138792	ENSG00000166477	LEO1	RDL	LEO1 homolog, Paf1/RNA polymerase II complex component	protein-coding
BCOR_KDM2B_common_region-1738	chr13	49468754	49468941	+	.	NA	promoter-TSS (NM_005798)	NA	-209	NR_037407	100500908		NR_037407	ENSG00000264864	MIR3613	-	microRNA 3613	ncRNA
BCOR_KDM2B_common_region-6485	chr9	129605017	129605237	+	.	NA	promoter-TSS (NM_001018078)	NA	145	NM_004957	2356		NM_004957	ENSG00000136877	FPGS	-	folylpolyglutamate synthase	protein-coding
BCOR_KDM2B_common_region-1806	chr14	20993888	20993919	+	.	NA	intron (NM_001170629, intron 1 of 37)	NA	219	NM_001170629	57680		NM_020920	ENSG00000100888	CHD8	AUTS18|HELSNF1|IDDAM	chromodomain helicase DNA binding protein 8	protein-coding
BCOR_KDM2B_common_region-4441	chr3	67787071	67787810	+	.	NA	promoter-TSS (NR_109993)	NA	286	NM_003848	8801		NM_003848	ENSG00000172340	SUCLG2	G-SCS|GBETA|GTPSCS	succinate-CoA ligase GDP-forming subunit beta	protein-coding
BCOR_KDM2B_common_region-2729	chr17	22645086	22645562	+	.	NA	promoter-TSS (NM_001348350)	NA	57	NM_001348350	26118		NM_015626	ENSG00000109046	WSB1	SWIP1|WSB-1	WD repeat and SOCS box containing 1	protein-coding
BCOR_KDM2B_common_region-2495	chr16	67902647	67902948	+	.	NA	promoter-TSS (NM_013245)	NA	43	NM_013245	27183		NM_013245	ENSG00000132612	VPS4A	CIMDAG|SKD1|SKD1A|SKD2|VPS4|VPS4-1	vacuolar protein sorting 4 homolog A	protein-coding
BCOR_KDM2B_common_region-4188	chr22	34753781	34753811	+	.	NA	intron (NM_001082579, intron 1 of 13)	NA	1022	NM_001082579	23543		NM_014309	ENSG00000100320	RBFOX2	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	RNA binding fox-1 homolog 2	protein-coding
BCOR_KDM2B_common_region-1919	chr14	68329828	68330407	+	.	NA	promoter-TSS (NM_004926)	NA	267	NM_001244698	677		NM_004926	ENSG00000185650	ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36 ring finger protein like 1	protein-coding
BCOR_KDM2B_common_region-4118	chr21	44404066	44404243	+	.	NA	promoter-TSS (NR_146631)	NA	19	NR_146631	105377138		NR_146631		LINC01678	-	long intergenic non-protein coding RNA 1678	ncRNA
BCOR_KDM2B_common_region-5410	chr6	35763504	35764699	+	.	NA	intron (NM_001145775, intron 2 of 11)	NA	569	NM_001145776	2289		NM_004117	ENSG00000096060	FKBP5	AIG6|FKBP51|FKBP54|P54|PPIase|Ptg-10	FKBP prolyl isomerase 5	protein-coding
BCOR_KDM2B_common_region-4131	chr21	44490802	44490856	+	.	NA	exon (NM_013369, exon 12 of 12)	NA	-4295	NR_135514	105372833		NR_135514	ENSG00000232010	DNMT3L-AS1	-	DNMT3L antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-233	chr1	42920244	42920421	+	.	NA	promoter-TSS (NM_004559)	NA	-344	NM_004559	4904		NM_004559	ENSG00000065978	YBX1	BP-8|CBF-A|CSDA2|CSDB|DBPB|EFI-A|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Y-box binding protein 1	protein-coding
BCOR_KDM2B_common_region-6677	chrX	129082071	129082648	+	.	NA	Intergenic	NA	-9812	NM_001127197	2000		NM_001421	ENSG00000102034	ELF4	AIFBL2|ELFR|MEF	E74 like ETS transcription factor 4	protein-coding
BCOR_KDM2B_common_region-3893	chr20	1826796	1826932	+	.	NA	intron (NM_080792, intron 2 of 8)	NA	2811	NM_001040023	140885		NM_080792	ENSG00000198053	SIRPA	BIT|CD172A|MFR|MYD-1|P84|PTPNS1|SHPS1|SIRP	signal regulatory protein alpha	protein-coding
BCOR_KDM2B_common_region-5276	chr5	179181079	179181313	+	.	NA	intron (NM_003900, intron 1 of 7)	NA	685	NM_003900	8878		NM_003900	ENSG00000161011	SQSTM1	A170|DMRV|FTDALS3|NADGP|OSIL|PDB3|ZIP3|p60|p62|p62B	sequestosome 1	protein-coding
BCOR_KDM2B_common_region-5969	chr7	138676352	138676969	+	.	NA	promoter-TSS (NM_197964)	NA	37	NM_197964	154791		NM_197964	ENSG00000164898	FMC1	C7orf55|HSPC268	formation of mitochondrial complex V assembly factor 1 homolog	protein-coding
BCOR_KDM2B_common_region-199	chr1	36168898	36169786	+	.	NA	promoter-TSS (NM_177422)	NA	49	NM_177422	192669		NM_024852	ENSG00000126070	AGO3	EIF2C3	argonaute RISC catalytic component 3	protein-coding
BCOR_KDM2B_common_region-6400	chr9	98220170	98220556	+	.	NA	5' UTR (NM_153695, exon 1 of 5)	NA	110	NM_153695	195828		NM_153695	ENSG00000165244	ZNF367	AFF29|CDC14B|ZFF29	zinc finger protein 367	protein-coding
BCOR_KDM2B_common_region-2121	chr15	61356880	61357076	+	.	NA	exon (NM_001145646, exon 1 of 5)	NA	121	NM_031301	83464		NM_031301	ENSG00000138613	APH1B	APH-1B|PRO1328|PSFL|TAAV688|aph-1beta	aph-1 homolog B, gamma-secretase subunit	protein-coding
BCOR_KDM2B_common_region-4694	chr4	24770999	24771153	+	.	NA	promoter-TSS (NR_037934)	NA	93	NM_016955	51091		NM_016955	ENSG00000109618	SEPSECS	LP|PCH2D|SLA|SLA-p35|SLA/LP|SecS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	protein-coding
BCOR_KDM2B_common_region-6652	chrX	117514471	117514670	+	.	NA	intron (NM_144658, intron 1 of 52)	NA	670	NM_144658	139818		NM_144658	ENSG00000147251	DOCK11	ACG|ADMIDX|ZIZ2|bB128O4.1	dedicator of cytokinesis 11	protein-coding
BCOR_KDM2B_common_region-490	chr1	165957212	165957312	+	.	NA	promoter-TSS (NM_001146191)	NA	-581	NM_003953	9019		NM_003953	ENSG00000197965	MPZL1	MPZL1b|PZR|PZR1b|PZRa|PZRb	myelin protein zero like 1	protein-coding
BCOR_KDM2B_common_region-727	chr10	26767020	26767286	+	.	NA	promoter-TSS (NM_019043)	NA	-123	NM_019043	54518		NM_019043	ENSG00000077420	APBB1IP	INAG1|PREL1|RARP1|RIAM	amyloid beta precursor protein binding family B member 1 interacting protein	protein-coding
BCOR_KDM2B_common_region-4805	chr4	100069813	100070052	+	.	NA	promoter-TSS (NM_001130678)	NA	-625	NM_001130678	1977		NM_001968	ENSG00000151247	EIF4E	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
BCOR_KDM2B_common_region-3651	chr2	119840937	119841188	+	.	NA	promoter-TSS (NM_001282633)	NA	-32	NM_001352432	1622		NM_020548	ENSG00000155368	DBI	ACBD1|ACBP|CCK-RP|EP	diazepam binding inhibitor, acyl-CoA binding protein	protein-coding
BCOR_KDM2B_common_region-5189	chr5	150807375	150807551	+	.	NA	5' UTR (NM_078483, exon 1 of 11)	NA	106	NM_078483	206358		NM_078483	ENSG00000123643	SLC36A1	Dct1|LYAAT1|PAT1|TRAMD3	solute carrier family 36 member 1	protein-coding
BCOR_KDM2B_common_region-620	chr1	228844951	228845315	+	.	NA	intron (NM_007357, intron 1 of 17)	NA	283	NM_007357	22796		NM_007357	ENSG00000135775	COG2	CDG2Q|LDLC	component of oligomeric golgi complex 2	protein-coding
BCOR_KDM2B_common_region-135	chr1	26479103	26479286	+	.	NA	promoter-TSS (NM_031286)	NA	30	NM_031286	83442		NM_031286	ENSG00000142669	SH3BGRL3	HEL-S-297|SH3BP-1|TIP-B1	SH3 domain binding glutamate rich protein like 3	protein-coding
BCOR_KDM2B_common_region-452	chr1	154736687	154736830	+	.	NA	intron (NM_005920, intron 1 of 11)	NA	433	NM_005920	4209		NM_005920	ENSG00000116604	MEF2D	-	myocyte enhancer factor 2D	protein-coding
BCOR_KDM2B_common_region-61	chr1	9670909	9671075	+	.	NA	promoter-TSS (NR_126367)	NA	-773	NR_126367	101929074		NR_126366	ENSG00000231789	PIK3CD-AS2	-	PIK3CD antisense RNA 2	ncRNA
BCOR_KDM2B_common_region-1055	chr11	43920594	43920782	+	.	NA	promoter-TSS (NM_001145033)	NA	-75	NM_001145033	387763		NM_001145033	ENSG00000187479	C11orf96	AG2	chromosome 11 open reading frame 96	protein-coding
BCOR_KDM2B_common_region-3154	chr19	2397508	2397768	+	.	NA	intron (NM_032737, intron 1 of 11)	NA	10319	NM_032737	84823		NM_032737	ENSG00000176619	LMNB2	EPM9|LAMB2|LMN2|MCPH27	lamin B2	protein-coding
BCOR_KDM2B_common_region-2853	chr17	55510843	55510990	+	.	NA	promoter-TSS (NR_135648)	NA	148	NM_022070	63897		NM_022070	ENSG00000068097	HEATR6	ABC1	HEAT repeat containing 6	protein-coding
BCOR_KDM2B_common_region-5056	chr5	95322657	95322979	+	.	NA	promoter-TSS (NR_130776)	NA	493	NM_012081	22936		NM_012081	ENSG00000118985	ELL2	MRCCAT1	elongation factor for RNA polymerase II 2	protein-coding
BCOR_KDM2B_common_region-5455	chr6	43060222	43060492	+	.	NA	promoter-TSS (NM_180976)	NA	71	NM_001270476	5528		NM_006245	ENSG00000112640	PPP2R5D	B56D|B56delta|HJS1|MRD35	protein phosphatase 2 regulatory subunit B'delta	protein-coding
BCOR_KDM2B_common_region-1202	chr11	66958520	66958843	+	.	NA	TTS (NM_005608)	NA	3048	NM_005608	5790		NM_005608	ENSG00000213402	PTPRCAP	CD45-AP|LPAP	protein tyrosine phosphatase receptor type C associated protein	protein-coding
BCOR_KDM2B_common_region-5902	chr7	98908345	98908766	+	.	NA	non-coding (NR_147002, exon 1 of 4)	NA	104	NM_001350999	285989		NM_213603	ENSG00000198556	ZNF789	-	zinc finger protein 789	protein-coding
BCOR_KDM2B_common_region-5683	chr6	160067927	160068276	+	.	NA	promoter-TSS (NM_001322820)	NA	-38	NM_004906	9589		NM_004906	ENSG00000146457	WTAP	Mum2	WT1 associated protein	protein-coding
BCOR_KDM2B_common_region-6386	chr9	95832965	95833133	+	.	NA	5' UTR (NM_001253830, exon 1 of 10)	NA	133	NM_177995	138639		NM_152422	ENSG00000158079	PTPDC1	PTP9Q22	protein tyrosine phosphatase domain containing 1	protein-coding
BCOR_KDM2B_common_region-5804	chr7	39955722	39955734	+	.	NA	promoter-TSS (NR_158201)	NA	-185	NR_158201	112267983		NR_158201	ENSG00000259826	CDK13-DT	-	CDK13 divergent transcript	ncRNA
BCOR_KDM2B_common_region-1369	chr12	44407493	44408019	+	.	NA	non-coding (NR_028408, exon 1 of 1)	NA	215	NR_028408	400027		NR_028408		LINC00938	-	long intergenic non-protein coding RNA 938	ncRNA
BCOR_KDM2B_common_region-6437	chr9	111768887	111769032	+	.	NA	intron (NM_147150, intron 6 of 9)	NA	-81740	NM_001004065	445815		NM_007203	ENSG00000157654	PALM2AKAP2	AKAP-2|AKAP-KL|AKAP2|AKAPKL|MISP2|PALM2|PALM2-AKAP2|PRKA2	PALM2 and AKAP2 fusion	protein-coding
BCOR_KDM2B_common_region-3045	chr18	53448487	53448632	+	.	NA	promoter-TSS (NR_164148)	NA	-2	NR_164148	100505549		NR_164148	ENSG00000267040	ATP8B1-AS1	-	ATP8B1 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-2155	chr15	65145513	65145787	+	.	NA	exon (NM_005902, exon 1 of 9)	NA	656	NM_005902	4088		NM_005902	ENSG00000166949	SMAD3	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3|hMAD-3|hSMAD3|mad3	SMAD family member 3	protein-coding
BCOR_KDM2B_common_region-1667	chr13	23984230	23984296	+	.	NA	intron (NM_006437, intron 1 of 33)	NA	653	NM_006437	143		NM_006437	ENSG00000102699	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	poly(ADP-ribose) polymerase family member 4	protein-coding
BCOR_KDM2B_common_region-801	chr10	73764942	73765068	+	.	NA	3' UTR (NM_001002762, exon 8 of 8)	NA	19678	NM_001002762	54788		NM_017626	ENSG00000148719	DNAJB12	DJ10	DnaJ heat shock protein family (Hsp40) member B12	protein-coding
BCOR_KDM2B_common_region-4231	chr22	44084396	44084724	+	.	NA	promoter-TSS (NM_017911)	NA	81	NM_017911	55007		NM_017911	ENSG00000100376	FAM118A	C22orf8	family with sequence similarity 118 member A	protein-coding
BCOR_KDM2B_common_region-1832	chr14	30996026	30996134	+	.	NA	intron (NM_080664, intron 1 of 2)	NA	383	NM_080664	112487		NM_080664	ENSG00000129480	DTD2	ATD|C14orf126	D-aminoacyl-tRNA deacylase 2	protein-coding
BCOR_KDM2B_common_region-1865	chr14	52088790	52089002	+	.	NA	promoter-TSS (NM_001099652)	NA	77	NM_020784	57544		NM_020784	ENSG00000087301	TXNDC16	ERp90|KIAA1344	thioredoxin domain containing 16	protein-coding
BCOR_KDM2B_common_region-6304	chr9	32542245	32542340	+	.	NA	promoter-TSS (NR_146061)	NA	60	NR_146063	100129250		NM_001349118	ENSG00000235453	SMIM27	C9orf133|TOPORS-AS1	small integral membrane protein 27	protein-coding
BCOR_KDM2B_common_region-838	chr10	93658216	93658939	+	.	NA	exon (NM_152429, exon 2 of 2)	NA	646	NM_152429	143282		NM_152429	ENSG00000174721	FGFBP3	C10orf13|FGF-BP3	fibroblast growth factor binding protein 3	protein-coding
BCOR_KDM2B_common_region-2759	chr17	26321496	26321797	+	.	NA	promoter-TSS (NM_032322)	NA	-537	NM_032322	84282		NM_032322	ENSG00000181481	RNF135	L13|MMFD|REUL|Riplet	ring finger protein 135	protein-coding
BCOR_KDM2B_common_region-6435	chr9	110815218	110815590	+	.	NA	exon (NM_003798, exon 1 of 19)	NA	196	NM_003798	8727		NM_003798	ENSG00000119326	CTNNAL1	ACRP|CLLP|alpha-CATU	catenin alpha like 1	protein-coding
BCOR_KDM2B_common_region-681	chr10	5766855	5766999	+	.	NA	non-coding (NR_135800, exon 1 of 2)	NA	120	NM_001321785	54906		NM_017782	ENSG00000108021	TASOR2	C10orf18|FAM208B|bA318E3.2	transcription activation suppressor family member 2	protein-coding
BCOR_KDM2B_common_region-3110	chr18	75539888	75540348	+	.	NA	promoter-TSS (NM_004715)	NA	615	NR_136643	284241		NM_182570	ENSG00000178412	CTDP1-DT	-	CTDP1 divergent transcript	ncRNA
BCOR_KDM2B_common_region-5282	chr5	180163309	180163780	+	.	NA	promoter-TSS (NM_001114619)	NA	-36	NM_001114619	4245		NM_002406	ENSG00000131446	MGAT1	GLCNAC-TI|GLCT1|GLYT1|GNT-1|GNT-I|GnTI|MGAT	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	protein-coding
BCOR_KDM2B_common_region-5550	chr6	107183868	107184046	+	.	NA	promoter-TSS (NM_018292)	NA	109	NM_032730	84816		NM_032730	ENSG00000130347	RTN4IP1	NIMP|OPA10	reticulon 4 interacting protein 1	protein-coding
BCOR_KDM2B_common_region-4722	chr4	42352859	42353926	+	.	NA	intron (NM_001105529, intron 1 of 35)	NA	487	NM_001105529	10396		NM_006095	ENSG00000124406	ATP8A1	ATPASEII|ATPIA|ATPP2	ATPase phospholipid transporting 8A1	protein-coding
BCOR_KDM2B_common_region-3668	chr2	128502425	128502726	+	.	NA	promoter-TSS (NM_001330302)	NA	-472	NM_001330300	79595		NM_024545	ENSG00000136715	SAP130	-	Sin3A associated protein 130	protein-coding
BCOR_KDM2B_common_region-2663	chr17	4793090	4793272	+	.	NA	promoter-TSS (NM_001375991)	NA	-611	NM_005022	5216		NM_005022	ENSG00000108518	PFN1	ALS18	profilin 1	protein-coding
BCOR_KDM2B_common_region-3938	chr20	30794762	30795171	+	.	NA	promoter-TSS (NM_001099339)	NA	-32	NM_053041	149951		NM_053041	ENSG00000149600	COMMD7	C20orf92|dJ1085F17.3	COMM domain containing 7	protein-coding
BCOR_KDM2B_common_region-5674	chr6	159139489	159139587	+	.	NA	intron (NM_003379, intron 1 of 12)	NA	-19461	NR_102425	101409257		NR_102425	ENSG00000233893	EZR-AS1	-	EZR antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-701	chr10	11766796	11766942	+	.	NA	Intergenic	NA	-57518	NM_024693	79746		NM_024693	ENSG00000134463	ECHDC3	-	enoyl-CoA hydratase domain containing 3	protein-coding
BCOR_KDM2B_common_region-4688	chr4	14612494	14612867	+	.	NA	promoter-TSS (NM_182485)	NA	87	NR_038857	441009		NR_038857	ENSG00000247624	CPEB2-DT	CPEB2-AS1|DRAIR	CPEB2 divergent transcript	ncRNA
BCOR_KDM2B_common_region-4774	chr4	78297298	78297781	+	.	NA	5' UTR (NM_004354, exon 1 of 8)	NA	155	NM_004354	901		NM_004354	ENSG00000138764	CCNG2	-	cyclin G2	protein-coding
BCOR_KDM2B_common_region-4793	chr4	84174979	84175150	+	.	NA	promoter-TSS (NM_001330727)	NA	-296	NM_001330727	51138		NM_016129	ENSG00000138663	COPS4	CSN4|SGN4	COP9 signalosome subunit 4	protein-coding
BCOR_KDM2B_common_region-4242	chr22	48606245	48606900	+	.	NA	intron (NM_001304808, intron 1 of 12)	NA	953	NM_001304808	23774		NM_014577	ENSG00000100425	BRD1	BRL|BRPF1|BRPF2	bromodomain containing 1	protein-coding
