PeakID (cmd=annotatePeaks.pl results/tmp/normalized_peaks/BCOR_LY1_hg18.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_peak_11381	chr16	83185374	83185817	+	.	NA	intron (NM_021149, intron 2 of 3)	NA	23590	NM_021149	23406		NM_021149	ENSG00000103187	COTL1	CLP	coactosin like F-actin binding protein 1	protein-coding
BCOR_peak_4478	chr5	137827615	137827989	+	.	NA	Intergenic	NA	-1265	NM_001964	1958		NM_001964	ENSG00000120738	EGR1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225	early growth response 1	protein-coding
BCOR_peak_6607	chr22	30215719	30215831	+	.	NA	promoter-TSS (NM_001164501)	NA	53	NM_001164502	56478		NM_019843	ENSG00000184708	EIF4ENIF1	4E-T|Clast4	eukaryotic translation initiation factor 4E nuclear import factor 1	protein-coding
BCOR_peak_8537	chr2	198072654	198073281	+	.	NA	promoter-TSS (NM_001202485)	NA	-158	NM_002156	3329		NM_002156	ENSG00000144381	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	heat shock protein family D (Hsp60) member 1	protein-coding
BCOR_peak_15070	chr11	74913692	74914872	+	.	NA	promoter-TSS (NM_001351168)	NA	-16	NM_001351168	81544		NM_030792	ENSG00000158555	GDPD5	GDE2|PP1665	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding
BCOR_peak_11501	chr16	87565687	87565902	+	.	NA	intron (NM_005187, intron 1 of 11)	NA	5322	NM_005187	863		NM_005187	ENSG00000129993	CBFA2T3	ETO2|MTG16|MTGR2|RUNX1T3|ZMYND4	CBFA2/RUNX1 partner transcriptional co-repressor 3	protein-coding
BCOR_peak_12203	chr14	22840771	22842082	+	.	NA	exon (NM_001276318, exon 1 of 5)	NA	482	NM_001276318	90673		NM_001276318	ENSG00000235194	PPP1R3E	-	protein phosphatase 1 regulatory subunit 3E	protein-coding
BCOR_peak_3143	chr6	26440123	26440439	+	.	NA	Intergenic	NA	-33085	NM_001197249	11118		NM_007047	ENSG00000186470	BTN3A2	BT3.2|BTF4|BTN3.2|CD277	butyrophilin subfamily 3 member A2	protein-coding
BCOR_peak_15238	chr11	118301811	118302008	+	.	NA	promoter-TSS (NR_165445)	NA	-64	NR_165445	283149		NM_182557	ENSG00000186174	BCL9L	B9L|BCL9-2|DLNB11	BCL9 like	protein-coding
BCOR_peak_16446	chr1	35796039	35796178	+	.	NA	promoter-TSS (NM_024874)	NA	121	NM_014284	23154		NM_014284	ENSG00000020129	NCDN	NEDIES	neurochondrin	protein-coding
BCOR_peak_1945	chr7	26382414	26383465	+	.	NA	promoter-TSS (NR_136270)	NA	-93	NR_136270	105375304		NR_136270	ENSG00000225792	SNX10-AS1	-	SNX10 antisense RNA 1	ncRNA
BCOR_peak_14402	chr11	17367345	17367490	+	.	NA	promoter-TSS (NM_001377297)	NA	52	NM_001166290	3767		NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|PNDM2|TNDM3	potassium inwardly rectifying channel subfamily J member 11	protein-coding
BCOR_peak_13820	chr12	67012000	67012322	+	.	NA	5' UTR (NM_001354970, exon 1 of 14)	NA	248	NM_020128	56890		NM_017440	ENSG00000111554	MDM1	-	Mdm1 nuclear protein	protein-coding
BCOR_peak_6437	chr3	197843301	197844046	+	.	NA	non-coding (NR_132101, exon 1 of 2)	NA	182	NR_132101	101929769		NR_132101		LINC01063	-	long intergenic non-protein coding RNA 1063	ncRNA
BCOR_peak_4876	chr4	39655646	39656319	+	.	NA	promoter-TSS (NM_001100399)	NA	-11	NM_001100400	23244		NM_015200	ENSG00000121892	PDS5A	PIG54|SCC-112|SCC112	PDS5 cohesin associated factor A	protein-coding
BCOR_peak_2366	chr7	99918799	99919237	+	.	NA	promoter-TSS (NM_173564)	NA	-468	NM_173564	222950		NM_173564	ENSG00000166924	NYAP1	C7orf51	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	protein-coding
BCOR_peak_2636	chr7	130442669	130443713	+	.	NA	promoter-TSS (NR_024153)	NA	-862	NR_024153	378805		NM_001085379	ENSG00000231721	LINC-PINT	LincRNA-Pint|MKLN1-AS1|PINT|PINT87aa|TISPL	long intergenic non-protein coding RNA, p53 induced transcript	ncRNA
BCOR_peak_2808	chr7	150579504	150579872	+	.	NA	intron (NM_001003802, intron 2 of 13)	NA	-2975	NM_001003801	6604		NM_003078	ENSG00000082014	SMARCD3	BAF60C|CRACD3|Rsc6p	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	protein-coding
BCOR_peak_10521	chr17	60988063	60988173	+	.	NA	5' UTR (NM_004655, exon 1 of 11)	NA	110	NM_004655	8313		NM_004655	ENSG00000168646	AXIN2	AXIL|ODCRCS	axin 2	protein-coding
BCOR_peak_1015	chr9	139592963	139593454	+	.	NA	promoter-TSS (NM_001346383)	NA	-10	NM_001346387	92715		NM_138778	ENSG00000148399	DPH7	C9orf112|RRT2|WDR85	diphthamide biosynthesis 7	protein-coding
BCOR_peak_7353	chr20	47986340	47986509	+	.	NA	promoter-TSS (NM_018683)	NA	83	NM_018683	55905		NM_018683	ENSG00000124226	RNF114	PSORS12|ZNF313	ring finger protein 114	protein-coding
BCOR_peak_2406	chr7	100820985	100821229	+	.	NA	intron (NM_001278563, intron 1 of 13)	NA	28231	NM_001278563	136227		NM_133457	ENSG00000160963	COL26A1	EMI6|EMID2|EMU2|SH2B	collagen type XXVI alpha 1 chain	protein-coding
BCOR_peak_1193	chr8	57000672	57000853	+	.	NA	intron (NM_002350, intron 1 of 12)	NA	-22794	NR_145767	109617001		NR_145767	ENSG00000199405	SNORA1B	-	small nucleolar RNA, H/ACA box 1B	snoRNA
BCOR_peak_12001	chr15	74983796	74985143	+	.	NA	intron (NM_001353009, intron 1 of 32)	NA	267	NM_001353009	49855		NM_020843	ENSG00000140386	SCAPER	IDDRP|MSTP063|ZNF291|Zfp291	S-phase cyclin A associated protein in the ER	protein-coding
BCOR_peak_1579	chr8	142257805	142258790	+	.	NA	intron (NM_001362798, intron 16 of 21)	NA	49558	NM_001080431	57210		NM_001080431	ENSG00000022567	SLC45A4	-	solute carrier family 45 member 4	protein-coding
BCOR_peak_3995	chr5	1438870	1440003	+	.	NA	Intergenic	NA	-6248	NR_125810	100506791		NR_125810	ENSG00000250584	LINC01511	-	long intergenic non-protein coding RNA 1511	ncRNA
BCOR_peak_2501	chr7	106597220	106597895	+	.	NA	intron (NM_012257, intron 1 of 10)	NA	873	NM_012257	26959		NM_012257	ENSG00000105856	HBP1	-	HMG-box transcription factor 1	protein-coding
BCOR_peak_3421	chr6	64403348	64403784	+	.	NA	promoter-TSS (NM_001290260)	NA	-100	NM_001290259	23469		NM_015153	ENSG00000118482	PHF3	-	PHD finger protein 3	protein-coding
BCOR_peak_11468	chr16	86541956	86542338	+	.	NA	promoter-TSS (NM_079837)	NA	-394	NM_001384942	54971		NM_017869	ENSG00000172530	BANP	BEND1|SMAR1|SMARBP1	BTG3 associated nuclear protein	protein-coding
BCOR_peak_3526	chr6	107064099	107064366	+	.	NA	intron (NM_001371242, intron 2 of 21)	NA	-2191	NM_001624	202		NM_001624	ENSG00000112297	CRYBG1	AIM1|ST4	crystallin beta-gamma domain containing 1	protein-coding
BCOR_peak_9131	chr19	16296179	16297351	+	.	NA	exon (NM_016270, exon 1 of 3)	NA	128	NM_016270	10365		NM_006075	ENSG00000127528	KLF2	LKLF	KLF transcription factor 2	protein-coding
BCOR_peak_16359	chr1	29320388	29320762	+	.	NA	exon (NM_001003682, exon 2 of 2)	NA	1025	NM_001171868	399474		NM_001003682	ENSG00000253304	TMEM200B	TTMB	transmembrane protein 200B	protein-coding
BCOR_peak_15956	chr10	121055660	121055936	+	.	NA	intron (NM_005308, intron 1 of 15)	NA	-71676	NR_039829	100616398		NR_039829	ENSG00000265719	MIR4681	-	microRNA 4681	ncRNA
BCOR_peak_3003	chr6	11201463	11202095	+	.	NA	promoter-TSS (NM_001135575)	NA	-274	NM_001135575	221710		NM_001135575	ENSG00000224531	SMIM13	C6orf228	small integral membrane protein 13	protein-coding
BCOR_peak_13622	chr12	48022549	48022871	+	.	NA	Intergenic	NA	-4228	NM_001304944	79962		NM_024902	ENSG00000178401	DNAJC22	wus	DnaJ heat shock protein family (Hsp40) member C22	protein-coding
BCOR_peak_9155	chr19	17198138	17198486	+	.	NA	intron (NM_024578, intron 1 of 5)	NA	277	NM_024578	79629		NM_024578	ENSG00000099330	OCEL1	FWP009|S863-9	occludin/ELL domain containing 1	protein-coding
BCOR_peak_6698	chr22	40027160	40027774	+	.	NA	promoter-TSS (NM_017590)	NA	-8	NM_017590	23264		NM_017590	ENSG00000100403	ZC3H7B	ROXAN1|RoXaN	zinc finger CCCH-type containing 7B	protein-coding
BCOR_peak_12948	chr13	45859278	45859381	+	.	NA	promoter-TSS (NM_025113)	NA	59	NM_001349772	80183		NM_025113	ENSG00000102445	RUBCNL	C13orf18|KIAA0226L|PACER	rubicon like autophagy enhancer	protein-coding
BCOR_peak_14059	chr12	120734822	120734963	+	.	NA	intron (NM_001353345, intron 6 of 16)	NA	8594	NM_001353345	23067		NM_015048	ENSG00000139718	SETD1B	IDDSELD|KMT2G|Set1B	SET domain containing 1B, histone lysine methyltransferase	protein-coding
BCOR_peak_6083	chr3	154360971	154361487	+	.	NA	Intergenic	NA	-1476	NM_002886	5912		NM_002886	ENSG00000181467	RAP2B	-	RAP2B, member of RAS oncogene family	protein-coding
BCOR_peak_16519	chr1	41756745	41756902	+	.	NA	intron (NM_024503, intron 6 of 8)	NA	-33882	NM_001302269	1907		NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding
BCOR_peak_15980	chr10	131161453	131161730	+	.	NA	intron (NM_002412, intron 1 of 4)	NA	6096	NM_002412	4255		NM_002412	ENSG00000170430	MGMT	-	O-6-methylguanine-DNA methyltransferase	protein-coding
BCOR_peak_12421	chr14	68689516	68690377	+	.	NA	promoter-TSS (NM_001284206)	NA	-279	NM_001284206	8816		NM_003861	ENSG00000139990	DCAF5	BCRG2|BCRP2|D14S1461E|WDR22	DDB1 and CUL4 associated factor 5	protein-coding
BCOR_peak_4126	chr5	37284733	37285955	+	.	NA	promoter-TSS (NM_023073)	NA	-57	NM_023073	65250		NM_023073	ENSG00000197603	CPLANE1	C5orf42|Hug|JBTS17|OFD6	ciliogenesis and planar polarity effector complex subunit 1	protein-coding
BCOR_peak_2793	chr7	150409613	150409961	+	.	NA	promoter-TSS (NM_006712)	NA	-884	NM_033015	10922		NM_006712	ENSG00000164896	FASTK	FAST	Fas activated serine/threonine kinase	protein-coding
BCOR_peak_15357	chr10	6154638	6154780	+	.	NA	Intergenic	NA	-10373	NM_000417	3559		NM_000417	ENSG00000134460	IL2RA	CD25|IDDM10|IL2R|IMD41|TCGFR|p55	interleukin 2 receptor subunit alpha	protein-coding
BCOR_peak_13721	chr12	54808347	54808483	+	.	NA	promoter-TSS (NM_015292)	NA	97	NM_015292	23344		NM_015292	ENSG00000139641	ESYT1	FAM62A|MBC2	extended synaptotagmin 1	protein-coding
BCOR_peak_516	chr9	78263636	78264677	+	.	NA	intron (NM_001097633, intron 1 of 2)	NA	238	NM_001490	2650		NM_001490	ENSG00000187210	GCNT1	C2GNT|C2GNT-L|C2GNT1|C2GlcNAcT|G6NT|NACGT2|NAGCT2	glucosaminyl (N-acetyl) transferase 1	protein-coding
BCOR_peak_7073	chr21	44450504	44452153	+	.	NA	Intergenic	NA	33926	NM_001283051	23308		NM_015259	ENSG00000160223	ICOSLG	B7-H2|B7H2|B7RP-1|B7RP1|B7h|CD275|GL50|ICOS-L|ICOSL|LICOS	inducible T cell costimulator ligand	protein-coding
BCOR_peak_16322	chr1	27559619	27560037	+	.	NA	exon (NM_004672, exon 15 of 29)	NA	6211	NM_004672	9064		NM_004672	ENSG00000142733	MAP3K6	ASK2|MAPKKK6|MEKK6	mitogen-activated protein kinase kinase kinase 6	protein-coding
BCOR_peak_796	chr9	129253291	129253442	+	.	NA	promoter-TSS (NM_001005374)	NA	140	NM_000976	6136		NM_000976	ENSG00000197958	RPL12	L12|uL11	ribosomal protein L12	protein-coding
BCOR_peak_9205	chr19	18672484	18673066	+	.	NA	intron (NM_015321, intron 1 of 13)	NA	17285	NM_015321	23373		NM_015321	ENSG00000105662	CRTC1	MAML2|MECT1|Mam-2|TORC-1|TORC1|WAMTP1	CREB regulated transcription coactivator 1	protein-coding
BCOR_peak_14567	chr11	47896092	47896845	+	.	NA	Intergenic	NA	-62219	NM_002843	5795		NM_002843	ENSG00000149177	PTPRJ	CD148|DEP1|HPTP eta|HPTPeta|R-PTP-ETA|R-PTP-J|SCC1|THC10	protein tyrosine phosphatase receptor type J	protein-coding
BCOR_peak_4543	chr5	140872790	140873333	+	.	NA	TTS (NM_018924)	NA	24069	NM_032407	56097		NM_018929	ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	protocadherin gamma subfamily C, 5	protein-coding
BCOR_peak_2897	chr6	321911	322615	+	.	NA	Intergenic	NA	-14489	NM_002460	3662		NM_002460	ENSG00000137265	IRF4	LSIRF|MUM1|NF-EM5|SHEP8	interferon regulatory factor 4	protein-coding
BCOR_peak_15517	chr10	35971012	35971936	+	.	NA	Intergenic	NA	-1106	NM_031866	8325		NM_031866	ENSG00000177283	FZD8	FZ-8|hFZ8	frizzled class receptor 8	protein-coding
BCOR_peak_13659	chr12	50072724	50072895	+	.	NA	intron (NM_001258401, intron 1 of 24)	NA	-1352	NM_007210	11226		NM_007210	ENSG00000139629	GALNT6	GALNAC-T6|GalNAcT6	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding
BCOR_peak_6039	chr3	142513107	142513578	+	.	NA	Intergenic	NA	-12376	NM_001080412	253461		NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
BCOR_peak_16775	chr1	92124148	92124442	+	.	NA	promoter-TSS (NR_036634)	NA	1	NM_001195683	7049		NM_003243	ENSG00000069702	TGFBR3	BGCAN|betaglycan	transforming growth factor beta receptor 3	protein-coding
BCOR_peak_16763	chr1	89230732	89230989	+	.	NA	promoter-TSS (NM_001008661)	NA	40	NM_001008661	56267		NM_001008661	ENSG00000137944	KYAT3	CCBL2|KAT3|KATIII	kynurenine aminotransferase 3	protein-coding
BCOR_peak_10068	chr17	8066809	8067100	+	.	NA	non-coding (NR_026951, exon 2 of 3)	NA	1132	NR_026951	284029		NM_173621	ENSG00000178977	LINC00324	C17orf44|NCRNA00324|RNA00324|TP53LC03	long intergenic non-protein coding RNA 324	ncRNA
BCOR_peak_14022	chr12	119608999	119609099	+	.	NA	promoter-TSS (NM_001303628)	NA	-286	NM_014730	9761		NM_014730	ENSG00000110917	MLEC	KIAA0152	malectin	protein-coding
BCOR_peak_13176	chr13	110156057	110156931	+	.	NA	promoter-TSS (NM_024537)	NA	-30	NR_147942	79587		NM_024537	ENSG00000134905	CARS2	COXPD27|cysRS	cysteinyl-tRNA synthetase 2, mitochondrial	protein-coding
BCOR_peak_13505	chr12	26200332	26201154	+	.	NA	Intergenic	NA	-31506	NM_030762	79365		NM_030762	ENSG00000123095	BHLHE41	BHLHB3|DEC2|FNSS1|SHARP1|hDEC2	basic helix-loop-helix family member e41	protein-coding
BCOR_peak_10967	chr16	4415404	4415662	+	.	NA	promoter-TSS (NM_001286516)	NA	-274	NM_001286516	9093		NM_005147	ENSG00000103423	DNAJA3	HCA57|TID1|Tid1-L|Tid1-S|hTID-1	DnaJ heat shock protein family (Hsp40) member A3	protein-coding
BCOR_peak_12139	chr15	97212876	97213105	+	.	NA	intron (NM_000875, intron 2 of 20)	NA	67812	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
BCOR_peak_15404	chr10	12277786	12277951	+	.	NA	promoter-TSS (NM_006023)	NA	28	NM_014142	11164		NM_014142	ENSG00000165609	NUDT5	YSA1|YSA1H|YSAH1|hNUDT5	nudix hydrolase 5	protein-coding
BCOR_peak_13385	chr12	6676430	6676721	+	.	NA	intron (NM_001244015, intron 3 of 5)	NA	3267	NM_001244015	196500		NM_153685	ENSG00000139200	PIANP	C12orf53|LEDA1|PANP|leda-1	PILR alpha associated neural protein	protein-coding
BCOR_peak_1704	chr8	145609465	145609608	+	.	NA	exon (NM_001280557, exon 2 of 4)	NA	241	NM_001280557	55630		NM_017767	ENSG00000147804	SLC39A4	AEZ|AWMS2|ZIP4	solute carrier family 39 member 4	protein-coding
BCOR_peak_3182	chr6	28475409	28475637	+	.	NA	promoter-TSS (NM_001163391)	NA	-20	NM_001163391	9753		NM_014724	ENSG00000158691	ZSCAN12	ZFP96|ZNF29K1|ZNF305|ZNF96|dJ29K1.2	zinc finger and SCAN domain containing 12	protein-coding
BCOR_peak_1221	chr8	61753983	61754235	+	.	NA	5' UTR (NM_017780, exon 1 of 38)	NA	256	NM_017780	55636		NM_017780	ENSG00000171316	CHD7	CRG|HH5|IS3|KAL5	chromodomain helicase DNA binding protein 7	protein-coding
BCOR_peak_13430	chr12	9804739	9805406	+	.	NA	promoter-TSS (NM_001781)	NA	-308	NM_001781	969		NM_001781	ENSG00000110848	CD69	AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3	CD69 molecule	protein-coding
BCOR_peak_920	chr9	135834520	135834866	+	.	NA	intron (NM_003371, intron 1 of 26)	NA	12574	NM_001134398	7410		NM_003371	ENSG00000160293	VAV2	VAV-2	vav guanine nucleotide exchange factor 2	protein-coding
BCOR_peak_7965	chr2	68522417	68522532	+	.	NA	Intergenic	NA	25456	NR_133923	554251		NM_001024680	ENSG00000204923	FBXO48	-	F-box protein 48	protein-coding
BCOR_peak_6102	chr3	158289091	158289943	+	.	NA	promoter-TSS (NR_034008)	NA	-847	NR_034008	100498859		NR_034008		LINC00881	LIPTER	long intergenic non-protein coding RNA 881	ncRNA
BCOR_peak_6929	chr21	39477691	39477951	+	.	NA	promoter-TSS (NM_001320795)	NA	-511	NM_001320795	8624		NM_003720	ENSG00000183527	PSMG1	C21LRP|DSCR2|LRPC21|PAC-1|PAC1	proteasome assembly chaperone 1	protein-coding
BCOR_peak_2044	chr7	39957386	39958124	+	.	NA	exon (NM_031267, exon 1 of 14)	NA	1271	NM_031267	8621		NM_003718	ENSG00000065883	CDK13	CDC2L|CDC2L5|CHDFIDD|CHED|hCDK13	cyclin dependent kinase 13	protein-coding
BCOR_peak_12902	chr13	40035152	40035415	+	.	NA	intron (NM_002015, intron 1 of 2)	NA	-82140	NR_024505	646982		NR_024505	ENSG00000215483	LINC00598	lncFOXO1	long intergenic non-protein coding RNA 598	ncRNA
BCOR_peak_17184	chr1	177317363	177317474	+	.	NA	promoter-TSS (NM_022371)	NA	-410	NM_022371	64222		NM_022371	ENSG00000186283	TOR3A	ADIR|ADIR2	torsin family 3 member A	protein-coding
BCOR_peak_5165	chr4	120029381	120029585	+	.	NA	promoter-TSS (NM_133477)	NA	26	NM_133477	171024		NM_133477	ENSG00000172403	SYNPO2	SYISL	synaptopodin 2	protein-coding
BCOR_peak_11547	chr16	88511678	88512115	+	.	NA	promoter-TSS (NM_002386)	NA	-875	NM_002386	4157		NM_002386	ENSG00000258839	MC1R	CMM5|MSH-R|SHEP2	melanocortin 1 receptor	protein-coding
BCOR_peak_10183	chr17	24917154	24918165	+	.	NA	exon (NM_198147, exon 1 of 2)	NA	522	NM_198147	116236		NM_198147	ENSG00000168792	ABHD15	-	abhydrolase domain containing 15	protein-coding
BCOR_peak_6252	chr3	185515383	185515505	+	.	NA	promoter-TSS (NM_182917)	NA	-202	NM_182917	1981		NM_004953	ENSG00000114867	EIF4G1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	eukaryotic translation initiation factor 4 gamma 1	protein-coding
BCOR_peak_12047	chr15	82998306	82998770	+	.	NA	promoter-TSS (NR_130944)	NA	-20	NM_032856	84942		NM_032856	ENSG00000177082	WDR73	GAMOS|GAMOS1|HSPC264	WD repeat domain 73	protein-coding
BCOR_peak_4069	chr5	11041132	11041276	+	.	NA	intron (NR_109988, intron 19 of 21)	NA	-226858	NM_001291963	1611		NM_004394	ENSG00000112977	DAP	DAP1	death associated protein	protein-coding
BCOR_peak_10366	chr17	40582319	40583506	+	.	NA	exon (NM_006460, exon 1 of 1)	NA	1287	NM_006460	10614		NM_006460	ENSG00000186834	HEXIM1	CLP1|EDG1|HIS1|MAQ1	HEXIM P-TEFb complex subunit 1	protein-coding
BCOR_peak_9534	chr18	12398440	12398606	+	.	NA	intron (NM_001142405, intron 1 of 6)	NA	595	NM_001142405	10650		NM_006553	ENSG00000141391	PRELID3A	C18orf43|HFL-EDDG1|SLMO1	PRELI domain containing 3A	protein-coding
BCOR_peak_12730	chr14	104740480	104740735	+	.	NA	Intergenic	NA	-21902	NM_001318380	256281		NM_177533	ENSG00000183828	NUDT14	UGPP|UGPPase	nudix hydrolase 14	protein-coding
BCOR_peak_2914	chr6	1555057	1555542	+	.	NA	5' UTR (NM_001453, exon 1 of 1)	NA	150	NM_001453	2296		NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
BCOR_peak_915	chr9	135333600	135333730	+	.	NA	intron (NM_001145099, intron 1 of 8)	NA	377	NM_017585	11182		NM_017585	ENSG00000160326	SLC2A6	GLUT6|GLUT9|HSA011372	solute carrier family 2 member 6	protein-coding
BCOR_peak_2310	chr7	97602186	97602320	+	.	NA	intron (NM_014916, intron 1 of 13)	NA	28143	NM_014916	22853		NM_014916	ENSG00000164715	LMTK2	AATYK2|BREK|KPI-2|KPI2|LMR2|PPP1R100|cprk|hBREK	lemur tyrosine kinase 2	protein-coding
BCOR_peak_9413	chr19	54213048	54213242	+	.	NA	promoter-TSS (NM_000894)	NA	-985	NM_000894	3972		NM_000894	ENSG00000104826	LHB	CGB4|HH23|LSH-B|LSH-beta	luteinizing hormone subunit beta	protein-coding
BCOR_peak_4424	chr5	132100572	132101124	+	.	NA	intron (NM_001300791, intron 1 of 18)	NA	289	NM_001300791	11127		NM_007054	ENSG00000131437	KIF3A	FLA10|KLP-20	kinesin family member 3A	protein-coding
BCOR_peak_6000	chr3	134774576	134774803	+	.	NA	promoter-TSS (NM_001134422)	NA	-531	NM_001282762	55573		NM_017548	ENSG00000091527	CDV3	H41	CDV3 homolog	protein-coding
BCOR_peak_16685	chr1	64983855	64984281	+	.	NA	intron (NM_001366165, intron 1 of 11)	NA	722	NM_018211	55225		NM_018211	ENSG00000162437	RAVER2	-	ribonucleoprotein, PTB binding 2	protein-coding
BCOR_peak_4398	chr5	127446431	127447186	+	.	NA	promoter-TSS (NR_152807)	NA	-42	NR_152804	644873		NR_015360	ENSG00000245937	SLC12A2-DT	LINC01184	SLC12A2 divergent transcript	ncRNA
BCOR_peak_17217	chr1	181705994	181706154	+	.	NA	intron (NR_040063, intron 2 of 4)	NA	1666	NR_040063	284649		NR_040063	ENSG00000232860	SMG7-AS1	DKFZP564C196	SMG7 antisense RNA 1	ncRNA
BCOR_peak_3080	chr6	18230782	18230977	+	.	NA	promoter-TSS (NM_198586)	NA	8	NM_198586	378884		NM_198586	ENSG00000187566	NHLRC1	EPM2A|EPM2B|MALIN|MELF2|bA204B7.2	NHL repeat containing E3 ubiquitin protein ligase 1	protein-coding
BCOR_peak_10705	chr17	74812711	74813002	+	.	NA	intron (NM_001350451, intron 2 of 13)	NA	177419	NM_001350453	146713		NM_001025448	ENSG00000167281	RBFOX3	FOX-3|FOX3|HRNBP3|NEUN	RNA binding fox-1 homolog 3	protein-coding
BCOR_peak_16492	chr1	40027579	40027700	+	.	NA	promoter-TSS (NM_001720)	NA	404	NR_135805	101929536		NR_135805	ENSG00000261798	LOC101929536	-	uncharacterized LOC101929536	ncRNA
BCOR_peak_4467	chr5	134554907	134555206	+	.	NA	intron (NR_161235, intron 3 of 5)	NA	56710	NR_037895	340073		NR_037895	ENSG00000249647	LINC02900	C5orf66-AS2	long intergenic non-protein coding RNA 2900	ncRNA
BCOR_peak_5833	chr3	99023156	99023718	+	.	NA	promoter-TSS (NM_153605)	NA	-108	NM_153605	131544		NM_153605	ENSG00000080200	CRYBG3	DKFZp667G2110|vlAKAP	crystallin beta-gamma domain containing 3	protein-coding
BCOR_peak_399	chr9	34448362	34448673	+	.	NA	promoter-TSS (NM_001184942)	NA	51	NM_147202	203259		NM_147202	ENSG00000164970	FAM219A	C9orf25	family with sequence similarity 219 member A	protein-coding
BCOR_peak_9770	chr18	70313947	70314356	+	.	NA	promoter-TSS (NM_018235)	NA	-427	NM_001370249	55748		NM_018235	ENSG00000133313	CNDP2	CN2|CPGL|HEL-S-13|HsT2298|PEPA	carnosine dipeptidase 2	protein-coding
BCOR_peak_14448	chr11	33836049	33836232	+	.	NA	TTS (NM_001142316)	NA	11860	NM_001142315	4005		NM_005574	ENSG00000135363	LMO2	LMO-2|RBTN2|RBTNL1|RHOM2|TTG2	LIM domain only 2	protein-coding
BCOR_peak_12145	chr15	97862437	97862636	+	.	NA	Intergenic	NA	-60609	NM_001352617	4205		NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
BCOR_peak_14921	chr11	66812442	66813193	+	.	NA	promoter-TSS (NM_001347901)	NA	-533	NM_207354	338692		NM_207354	ENSG00000172932	ANKRD13D	-	ankyrin repeat domain 13D	protein-coding
BCOR_peak_6042	chr3	142604100	142604361	+	.	NA	promoter-TSS (NM_001376190)	NA	-316	NM_001376189	253461		NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
BCOR_peak_9386	chr19	52803123	52803658	+	.	NA	intron (NM_015711, intron 1 of 14)	NA	125	NM_015711	29998		NM_015711	ENSG00000063169	BICRA	CSS12|GLTSCR1|SMARCK1	BRD4 interacting chromatin remodeling complex associated protein	protein-coding
BCOR_peak_17538	chr1	244737055	244737210	+	.	NA	promoter-TSS (NM_001167740)	NA	72	NM_001167740	64754		NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
BCOR_peak_2104	chr7	47549912	47550043	+	.	NA	intron (NM_022748, intron 1 of 30)	NA	38257	NM_022748	64759		NM_022748	ENSG00000136205	TNS3	TEM6|TENS1	tensin 3	protein-coding
BCOR_peak_101	chrX	46657257	46657891	+	.	NA	intron (NM_014735, intron 1 of 10)	NA	774	NM_014735	9767		NM_014735	ENSG00000102221	JADE3	JADE-3|PHF16	jade family PHD finger 3	protein-coding
BCOR_peak_5737	chr3	53052848	53053045	+	.	NA	intron (NM_016329, intron 1 of 20)	NA	2183	NM_016329	51460		NM_016329	ENSG00000163935	SFMBT1	RU1|SFMBT|hSFMBT	Scm like with four mbt domains 1	protein-coding
BCOR_peak_12831	chr13	26922091	26923398	+	.	NA	promoter-TSS (NM_001166263)	NA	-5	NM_001166263	219402		NM_152912	ENSG00000122033	MTIF3	IF3mt	mitochondrial translational initiation factor 3	protein-coding
BCOR_peak_5889	chr3	115415827	115415991	+	.	NA	Intergenic	NA	-14965	NM_001282563	1814		NM_000796	ENSG00000151577	DRD3	D3DR|ETM1|FET1	dopamine receptor D3	protein-coding
